iter	Passed	Remaining
0	2	216
1	4	234
2	6	204
3	7	185
4	9	183
5	11	176
6	12	170
7	14	164
8	15	160
9	17	155
10	19	156
11	20	153
12	22	149
13	23	146
14	25	143
15	26	140
16	28	138
17	29	135
18	31	132
19	32	130
20	35	131
21	36	129
22	38	127
23	39	125
24	41	123
25	42	120
26	43	118
27	45	116
28	46	114
29	48	114
30	50	112
31	52	111
32	54	110
33	56	108
34	57	107
35	59	106
36	61	104
37	65	106
38	66	104
39	68	102
40	69	100
41	70	96
42	71	94
43	73	92
44	74	91
45	75	89
46	78	88
47	79	86
48	81	84
49	82	82
50	84	81
51	85	79
52	87	77
53	88	75
54	89	73
55	91	71
56	93	70
57	94	68
58	96	67
59	97	65
60	99	63
61	100	61
62	102	60
63	103	58
64	105	56
65	107	55
66	109	53
67	110	52
68	112	50
69	113	48
70	115	46
71	116	45
72	117	43
73	119	41
74	120	40
75	123	39
76	125	37
77	126	35
78	128	34
79	129	32
80	130	30
81	132	29
82	133	27
83	135	25
84	137	24
85	140	22
86	142	21
87	144	19
88	145	18
89	147	16
90	150	14
91	153	13
92	155	11
93	157	10
94	158	8
95	160	6
96	162	5
97	164	3
98	166	1
99	167	0
