iter	Passed	Remaining
0	171	171534
1	173	86745
2	175	58403
3	177	44221
4	179	35795
5	182	30156
6	184	26101
7	186	23065
8	188	20740
9	190	18854
10	196	17623
11	198	16312
12	200	15199
13	202	14258
14	204	13426
15	209	12870
16	211	12226
17	213	11642
18	215	11127
19	217	10666
20	247	11525
21	249	11090
22	251	10694
23	257	10464
24	259	10119
25	261	9805
26	263	9504
27	265	9228
28	268	8981
29	273	8853
30	275	8624
31	277	8407
32	279	8203
33	282	8036
34	299	8268
35	304	8164
36	307	7999
37	309	7841
38	311	7682
39	313	7533
40	315	7387
41	318	7255
42	320	7127
43	322	7002
44	324	6885
45	326	6768
46	328	6656
47	332	6599
48	334	6496
49	389	7397
50	391	7290
51	393	7178
52	398	7116
53	401	7025
54	403	6928
55	405	6832
56	407	6738
57	409	6648
58	422	6736
59	424	6653
60	430	6630
61	432	6547
62	434	6469
63	503	7364
64	505	7274
65	508	7194
66	513	7146
67	515	7061
68	517	6980
69	519	6901
70	521	6823
71	523	6750
72	528	6710
73	530	6637
74	532	6569
75	534	6499
76	536	6431
77	570	6747
78	572	6678
79	577	6644
80	579	6578
81	583	6537
82	585	6464
83	587	6402
84	599	6455
85	601	6397
86	604	6340
87	608	6310
88	611	6254
89	613	6201
90	615	6147
91	640	6322
92	643	6279
93	646	6232
94	648	6178
95	650	6126
96	656	6115
97	658	6064
98	660	6014
99	662	5966
100	664	5918
101	669	5898
102	672	5853
103	674	5807
104	676	5763
105	735	6203
106	737	6157
107	739	6110
108	742	6066
109	744	6022
110	747	5983
111	752	5962
112	754	5919
113	756	5876
114	758	5834
115	821	6262
116	823	6213
117	825	6168
118	827	6126
119	829	6083
120	836	6074
121	838	6035
122	840	5994
123	842	5955
124	846	5922
125	853	5922
126	855	5882
127	857	5844
128	860	5807
129	895	5993
130	897	5955
131	899	5916
132	901	5877
133	903	5840
134	905	5804
135	917	5830
136	919	5794
137	922	5759
138	927	5742
139	929	5708
140	931	5673
141	932	5634
142	934	5600
143	941	5599
144	1020	6015
145	1022	5979
146	1027	5959
